basin,BT,code,year,WD,var,value,unit,deployment,N.WD
BP,A,D,2008,130,S,12,,,0.522088353
BP,A,D,2008,130,BW_O2,0,,,0.522088353
BP,A,D,2008,130,ChlA.inv,64.288079,,,0.522088353
BP,A,D,2008,130,OC.inv,0.050089835,,,0.522088353
BP,A,D,2008,130,TN.inv,0.005861985,,,0.522088353
BP,A,D,2008,130,CN,9.960702205,,,0.522088353
BP,A,D,2010,130,S,12,,,0.522088353
BP,A,D,2010,130,BW_O2,0,,,0.522088353
BP,A,D,2010,130,ChlA.inv,74.2147515,,,0.522088353
BP,A,D,2010,130,OC.inv,0.050860394,,,0.522088353
BP,A,D,2010,130,TN.inv,0.006138708,,,0.522088353
BP,A,D,2010,130,CN,9.658012555,,,0.522088353
BP,A,E,2008,170,S,12.6,,,0.682730924
BP,A,E,2008,170,BW_O2,0,,,0.682730924
BP,A,E,2008,170,ChlA.inv,69.3637385,,,0.682730924
BP,A,E,2008,170,OC.inv,0.049156828,,,0.682730924
BP,A,E,2008,170,TN.inv,0.005385985,,,0.682730924
BP,A,E,2008,170,TP.inv,0.000823681,,,0.682730924
BP,A,E,2008,170,CN,10.63907239,,,0.682730924
BP,A,E,2008,170,CP,153.8945212,,,0.682730924
BP,A,E,2008,170,NP,14.46503188,,,0.682730924
BP,A,E,2010,170,S,12.3,,,0.682730924
BP,A,E,2010,170,BW_O2,0,,,0.682730924
BP,A,E,2010,170,ChlA.inv,77.2147272,,,0.682730924
BP,A,E,2010,170,OC.inv,0.039122517,,,0.682730924
BP,A,E,2010,170,TN.inv,0.004433955,,,0.682730924
BP,A,E,2010,170,CN,10.28538365,,,0.682730924
BP,A,F,2008,210,S,12.7,,,0.843373494
BP,A,F,2008,210,BW_O2,0,,,0.843373494
BP,A,F,2008,210,ChlA.inv,74.7578449,,,0.843373494
BP,A,F,2008,210,OC.inv,0.043374188,,,0.843373494
BP,A,F,2008,210,TN.inv,0.004740166,,,0.843373494
BP,A,F,2008,210,TP.inv,0.000552274,,,0.843373494
BP,A,F,2008,210,CN,10.66652316,,,0.843373494
BP,A,F,2008,210,CP,202.5232457,,,0.843373494
BP,A,F,2008,210,NP,18.98680972,,,0.843373494
BP,A,F,2010,210,S,12.5,,,0.843373494
BP,A,F,2010,210,BW_O2,0,,,0.843373494
BP,A,F,2010,210,ChlA.inv,82.3203238,,,0.843373494
BP,A,F,2010,210,OC.inv,0.03982924,,,0.843373494
BP,A,F,2010,210,TN.inv,0.004773459,,,0.843373494
BP,A,F,2010,210,CN,9.726437819,,,0.843373494
BP,A,Y,2008,120,BW_O2,0,,,0.481927711
BP,A,Y,2008,120,ChlA.inv,78.8198009,,,0.481927711
BP,A,Y,2008,120,OC.inv,0.061105183,,,0.481927711
BP,A,Y,2008,120,TN.inv,0.007553444,,,0.481927711
BP,A,Y,2008,120,CN,9.430138458,,,0.481927711
BP,A,Y,2009,120,S,11.3,,,0.481927711
BP,A,Y,2009,120,BW_O2,0,,,0.481927711
BP,A,Y,2009,120,ChlA.inv,81.1316919,,,0.481927711
BP,A,Y,2009,120,OC.inv,0.058925579,,,0.481927711
BP,A,Y,2009,120,TN.inv,0.007034604,,,0.481927711
BP,A,Y,2009,120,CN,9.764483212,,,0.481927711
BP,A,Y,2010,120,BW_O2,0,,,0.481927711
BP,A,Y,2010,120,OC.inv,0.056616809,,,0.481927711
BP,A,Y,2010,120,TN.inv,0.006582918,,,0.481927711
BP,A,Y,2010,120,CN,10.02563659,,,0.481927711
BP,ET,A,2008,60,S,7.5,,,0.240963855
BP,ET,A,2008,60,BW_O2,279,,,0.240963855
BP,ET,A,2008,60,ChlA.inv,4.8649548,,,0.240963855
BP,ET,A,2008,60,OC.inv,0.007993365,,,0.240963855
BP,ET,A,2008,60,TN.inv,0.001082176,,,0.240963855
BP,ET,A,2008,60,TP.inv,0.000412565,,,0.240963855
BP,ET,A,2008,60,CN,8.610273271,,,0.240963855
BP,ET,A,2008,60,CP,49.96155963,,,0.240963855
BP,ET,A,2008,60,NP,5.802552143,,,0.240963855
BP,ET,A,2010,60,S,8.4,,,0.240963855
BP,ET,A,2010,60,BW_O2,178,,,0.240963855
BP,ET,A,2010,60,ChlA.inv,17.6252288,,,0.240963855
BP,ET,B,2008,75,S,8.7,,,0.301204819
BP,ET,B,2008,75,BW_O2,125,,,0.301204819
BP,ET,B,2008,75,ChlA.inv,22.0093291,,,0.301204819
BP,ET,B,2008,75,OC.inv,0.016607531,,,0.301204819
BP,ET,B,2008,75,TN.inv,0.002176306,,,0.301204819
