code,var,unit,value,year,basin,deployment,BT,WD,N.WD
T002,DIC,C1,45.34917734,2020,BP,1,A,120,0.261437908
T002,DIC,C2,65.08097505,2020,BP,1,A,120,0.261437908
T002,DIC,C3,29.6467333,2020,BP,1,A,120,0.261437908
T002,DIC,CA,20.40451962,2020,BP,1,A,120,0.261437908
T002,NH4,C1,4.061546699,2020,BP,1,A,120,0.261437908
T002,NH4,C2,2.426826527,2020,BP,1,A,120,0.261437908
T002,NH4,C3,2.507475748,2020,BP,1,A,120,0.261437908
T002,NH4,C4,2.475028194,2020,BP,1,A,120,0.261437908
T002,NH4,CA,2.168518847,2020,BP,1,A,120,0.261437908
T002,NH4,CB,5.546872328,2020,BP,1,A,120,0.261437908
T002,DIP,C1,0.838746858,2020,BP,1,A,120,0.261437908
T002,DIP,C2,0.445127687,2020,BP,1,A,120,0.261437908
T002,DIP,C3,0.33306595,2020,BP,1,A,120,0.261437908
T002,DIP,C4,0.408905577,2020,BP,1,A,120,0.261437908
T002,DIP,CA,0.33146377,2020,BP,1,A,120,0.261437908
T002,DIP,CB,1.384512365,2020,BP,1,A,120,0.261437908
T002,NOx,C1,-0.104395921,2020,BP,1,A,120,0.261437908
T002,NOx,C2,-0.054674196,2020,BP,1,A,120,0.261437908
T002,NOx,C3,-0.158554974,2020,BP,1,A,120,0.261437908
T002,NOx,CA,-0.007416929,2020,BP,1,A,120,0.261437908
T002,DIN,C1,3.957150778,2020,BP,1,A,120,0.261437908
T002,DIN,C2,2.372152331,2020,BP,1,A,120,0.261437908
T002,DIN,C3,1.66549393,2020,BP,1,A,120,0.261437908
T002,DIN,C4,2.477541547,2020,BP,1,A,120,0.261437908
T002,DIN,CA,2.162988793,2020,BP,1,A,120,0.261437908
T002,DIN,CB,5.264009053,2020,BP,1,A,120,0.261437908
T003,DIC,C1,55.07452543,2020,BP,1,A,62,0.135076253
T003,DIC,C2,31.62488528,2020,BP,1,A,62,0.135076253
T003,DIC,C3,73.43974038,2020,BP,1,A,62,0.135076253
T003,DIC,C4,38.68234899,2020,BP,1,A,62,0.135076253
T003,NH4,C1,4.920710139,2020,BP,1,A,62,0.135076253
T003,NH4,C2,2.590711776,2020,BP,1,A,62,0.135076253
T003,NH4,C3,4.038867252,2020,BP,1,A,62,0.135076253
T003,NH4,C4,3.108427158,2020,BP,1,A,62,0.135076253
T003,NH4,CA,5.610557332,2020,BP,1,A,62,0.135076253
T003,NH4,CB,5.200293253,2020,BP,1,A,62,0.135076253
T003,DIP,C1,1.03790622,2020,BP,1,A,62,0.135076253
T003,DIP,C2,0.330413301,2020,BP,1,A,62,0.135076253
T003,DIP,C3,0.707258507,2020,BP,1,A,62,0.135076253
T003,DIP,C4,0.443226979,2020,BP,1,A,62,0.135076253
T003,DIP,CA,0.677432674,2020,BP,1,A,62,0.135076253
T003,DIP,CB,0.677667126,2020,BP,1,A,62,0.135076253
T003,NOx,C3,-0.134723682,2020,BP,1,A,62,0.135076253
T003,NOx,C4,-0.025444802,2020,BP,1,A,62,0.135076253
T003,DIN,C1,4.918589914,2020,BP,1,A,62,0.135076253
T003,DIN,C2,2.503841443,2020,BP,1,A,62,0.135076253
T003,DIN,C3,3.904143569,2020,BP,1,A,62,0.135076253
T003,DIN,C4,3.08478262,2020,BP,1,A,62,0.135076253
T003,DIN,CA,5.004966448,2020,BP,1,A,62,0.135076253
T003,DIN,CB,5.205010564,2020,BP,1,A,62,0.135076253
T011,DIC,C1,8.91460977,2020,BP,1,ET,120,0.261437908
T011,DIC,CA,6.786648039,2020,BP,1,ET,120,0.261437908
T011,DIC,CB,2.769305815,2020,BP,1,ET,120,0.261437908
T011,NH4,C1,0.221492018,2020,BP,1,ET,120,0.261437908
T011,NH4,C3,0.097993924,2020,BP,1,ET,120,0.261437908
T011,NH4,CA,0.070836709,2020,BP,1,ET,120,0.261437908
T011,NH4,CB,0.02777415,2020,BP,1,ET,120,0.261437908
T011,DIP,C3,0.074023429,2020,BP,1,ET,120,0.261437908
T011,DIP,C4,0.043054673,2020,BP,1,ET,120,0.261437908
T011,NOx,C4,0.226347907,2020,BP,1,ET,120,0.261437908
T011,DIN,C4,0.237871835,2020,BP,1,ET,120,0.261437908
