basin,BT,code,year,DIC,NH4,DIP,NOx,DIN,BW_O2,ChlA.inv,OC.inv,TN.inv,IP.inv,TP.inv,CN
BP,A,D,2008,22.48223812333333,2.620491479,0.34046680766666665,NA,3.561876039,0,64.28807898,41.70677335,4.184143167,NA,NA,9.96781699033101
BP,A,D,2010,34.755852405,1.2650706896666666,0.34962478525,-0.16970236133333336,1.0834701873333334,0,104.1532524,65.21581759,6.746396713,NA,NA,9.666762920172198
BP,A,D,2016,35.301770866249996,4.569486576375,0.793388056375,NA,3.753529515875,0,NA,87.88848325,8.238675791,0.305924272,0.663749964,10.667792431644187
BP,A,D,2017,NA,NA,NA,NA,NA,2,NA,38.55507224,3.886415101,0.073989356,0.183681368,9.920472012904522
BP,A,D,2018,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
BP,A,E,2008,21.5201438975,1.7112965375,0.32253922925,NA,1.399870161,0,69.36373849,40.92991484,3.844385908,NA,0.265960824,10.646671749271224
BP,A,E,2010,30.13547389,1.1081579504999999,0.509165719,NA,NA,0,95.05039309,49.23209241,4.835912407,NA,NA,10.180517814742958
BP,A,E,2015,NA,NA,NA,NA,NA,30,NA,75.19369195,6.941861163,0.1990712,0.445043702,10.831921034488717
BP,A,E,2016,NA,NA,NA,NA,NA,10,NA,91.55656193,8.32636249,0.264726821,0.573964539,10.99598558673849
BP,A,E,2017,NA,NA,NA,NA,NA,12,NA,38.26191062,3.495169306,0.131558024,0.267916667,10.9470836088877
BP,A,E,2018,48.0069845,2.4550223995000002,0.6338529785,0.045934394,2.2459271464999997,0,NA,NA,NA,NA,NA,NA
BP,A,F,2008,37.512216355,3.0194658115,0.44030023325,NA,3.01564102775,0,74.75784493,36.11506087,3.383415776,NA,0.178325522,10.674142127662645
BP,A,F,2010,36.03839823,3.189410272,1.183902597,NA,NA,0,109.7966399,49.58656094,5.053665443,NA,NA,9.811999131973407
BP,A,F,2015,NA,NA,NA,NA,NA,45,NA,69.57174455,6.347245193,0.206582554,0.453769229,10.96093540339777
BP,A,F,2016,NA,NA,NA,NA,NA,25,NA,84.82115554,7.733711731,0.250846326,0.532985921,10.967716213160728
BP,A,F,2017,NA,NA,NA,NA,NA,27,NA,34.54582943,3.210217437,0.065954986,0.172159892,10.761211696078641
BP,A,F,2018,59.660014225,3.709260287166667,1.2953939512083334,0.023738324,2.9955543308333334,0,NA,NA,NA,NA,NA,NA
BP,A,T002,2020,40.1203513275,3.1977113905,0.6236370345,-0.081260505,2.9832227386666665,0,NA,74.82258143,7.434410681,0.236137714,0.353841588,10.06435945504367
BP,A,T003,2020,49.705375020000005,4.244927818333333,0.6456508011666666,-0.080084242,4.1035557596666665,195,NA,80.34043371,7.659703484,0.264089989,0.447305303,10.48871328737717
BP,A,W009,2020,81.04934485749999,4.6061563788,1.0057259568333334,0.0296750556,4.628967416,0,NA,66.30436798,6.756002264,0.16825728,0.273059201,9.814142356539623
BP,A,W010,2020,150.1855975,3.391861987,1.908236337,0.017214929333333333,3.397164578,0,NA,60.64972836,6.306326221,0.362789168,0.574006191,9.617283698080357
BP,A,W013,2020,10.8073990095,1.3645172103333334,0.0665302098,-0.5144186813333333,0.923493973,50,NA,83.73294705,9.018324531,0.866600677,1.094678617,9.28475647135702
